Taxon ID,Genome ID,Genome Name,Antibiotic,Resistant Phenotype,Measurement,Measurement Sign,Measurement Value,Measurement Unit,Laboratory Typing Method,Laboratory Typing Method Version,Laboratory Typing Platform,Vendor,Testing Standard,Testing Standard Year,Computational Method,Computational Method Version,Computational Method Performance,Evidence,Source,PubMed
1280,"1280.30015","Staphylococcus aureus strain HICF0446","cefoxitin","Resistant",,,,,"Disk diffusion",,,,"EUCAST",2019,,,,"Laboratory Method",,"32025709"
1280,"1280.51921","Staphylococcus aureus 14-01017","cefoxitin","Susceptible",,,,,"Broth dilution",,,,"EUCAST",2018,,,,"Laboratory Method",,"33658988"
1280,"1280.29789","Staphylococcus aureus strain HICF0145","cefoxitin","Resistant",,,,,"Disk diffusion",,,,"EUCAST",2019,,,,"Laboratory Method",,"32025709"
1280,"1280.16570","Staphylococcus aureus strain AR_0220","cefoxitin","Resistant",">16",">","16","mg/L","Broth dilution",,,,"CLSI",,,,,"Laboratory Method",,
1280,"1280.29822","Staphylococcus aureus strain HICF0184","cefoxitin","Resistant",,,,,"Disk diffusion",,,,"EUCAST",2019,,,,"Laboratory Method",,"32025709"
1280,"1280.11261","Staphylococcus aureus strain 3688STDY6124861","cefoxitin","Susceptible",,,,,,,,,,,,,,"Laboratory Method",,"26806258"
1280,"1280.39467","Staphylococcus aureus AR-0995","cefoxitin","Resistant",,,,,,,,,"clsi",2018,,,,"Laboratory Method",,"31996449"
1280,"1280.52197","Staphylococcus aureus WUSa_oxa_MS040","cefoxitin","Susceptible","29",,"29","mm","Disk diffusion",,,,"CLSI",2020,,,,"Laboratory Method",,"35038924"
1280,"1280.29793","Staphylococcus aureus strain HICF0163","cefoxitin","Resistant",,,,,"Disk diffusion",,,,"EUCAST",2019,,,,"Laboratory Method",,"32025709"
1280,"1280.29864","Staphylococcus aureus strain HICF0251","cefoxitin","Resistant",,,,,"Disk diffusion",,,,"EUCAST",2019,,,,"Laboratory Method",,"32025709"
1280,"1280.29683","Staphylococcus aureus strain HICF0015","cefoxitin","Resistant",,,,,"Disk diffusion",,,,"EUCAST",2019,,,,"Laboratory Method",,"32025709"
1280,"1280.11336","Staphylococcus aureus strain 3688STDY6125001","cefoxitin","Susceptible",,,,,,,,,,,,,,"Laboratory Method",,"26806258"
1280,"1280.29708","Staphylococcus aureus strain HICF0040","cefoxitin","Resistant",,,,,"Disk diffusion",,,,"EUCAST",2019,,,,"Laboratory Method",,"32025709"
1280,"1280.30124","Staphylococcus aureus strain HICF0572","cefoxitin","Resistant",,,,,"Disk diffusion",,,,"EUCAST",2019,,,,"Laboratory Method",,"32025709"
1280,"1280.29920","Staphylococcus aureus strain HICF0311","cefoxitin","Resistant",,,,,"Disk diffusion",,,,"EUCAST",2019,,,,"Laboratory Method",,"32025709"
1280,"1280.11161","Staphylococcus aureus strain 3688STDY6124876","cefoxitin","Susceptible",,,,,,,,,,,,,,"Laboratory Method",,"26806258"
1280,"1280.16387","Staphylococcus aureus strain AR465","cefoxitin","Resistant",">16",">","16","mg/L","Broth dilution",,,,"CLSI",,,,,"Laboratory Method",,
1280,"1280.30101","Staphylococcus aureus strain HICF0534","cefoxitin","Resistant",,,,,"Disk diffusion",,,,"EUCAST",2019,,,,"Laboratory Method",,"32025709"
1280,"1280.52179","Staphylococcus aureus WUSa_oxa_MS060","cefoxitin","Susceptible","24",,"24","mm","Disk diffusion",,,,"CLSI",2020,,,,"Laboratory Method",,"35038924"
1280,"1280.29719","Staphylococcus aureus strain HICF0056","cefoxitin","Resistant",,,,,"Disk diffusion",,,,"EUCAST",2019,,,,"Laboratory Method",,"32025709"
1280,"1280.30380","Staphylococcus aureus strain HICF0864","cefoxitin","Resistant",,,,,"Disk diffusion",,,,"EUCAST",2019,,,,"Laboratory Method",,"32025709"
1280,"1280.30452","Staphylococcus aureus strain HICF0953","cefoxitin","Resistant",,,,,"Disk diffusion",,,,"EUCAST",2019,,,,"Laboratory Method",,"32025709"
1280,"1280.29995","Staphylococcus aureus strain HICF0414","cefoxitin","Resistant",,,,,"Disk diffusion",,,,"EUCAST",2019,,,,"Laboratory Method",,"32025709"
1280,"1280.29983","Staphylococcus aureus strain HICF0403","cefoxitin","Resistant",,,,,"Disk diffusion",,,,"EUCAST",2019,,,,"Laboratory Method",,"32025709"
1280,"1280.11326","Staphylococcus aureus strain 3688STDY6125013","cefoxitin","Susceptible",,,,,,,,,,,,,,"Laboratory Method",,"26806258"
1280,"1280.30163","Staphylococcus aureus strain HICF0610","cefoxitin","Resistant",,,,,"Disk diffusion",,,,"EUCAST",2019,,,,"Laboratory Method",,"32025709"
1280,"1280.29875","Staphylococcus aureus strain HICF0266","cefoxitin","Resistant",,,,,"Disk diffusion",,,,"EUCAST",2019,,,,"Laboratory Method",,"32025709"
1280,"1280.30241","Staphylococcus aureus strain HICF0706","cefoxitin","Resistant",,,,,"Disk diffusion",,,,"EUCAST",2019,,,,"Laboratory Method",,"32025709"
1280,"1280.11242","Staphylococcus aureus strain 3688STDY6124874","cefoxitin","Susceptible",,,,,,,,,,,,,,"Laboratory Method",,"26806258"
1280,"1280.29713","Staphylococcus aureus strain HICF0041","cefoxitin","Resistant",,,,,"Disk diffusion",,,,"EUCAST",2019,,,,"Laboratory Method",,"32025709"
1280,"1280.51804","Staphylococcus aureus 14-03505","cefoxitin","Resistant",,,,,"Broth dilution",,,,"EUCAST",2018,,,,"Laboratory Method",,"33658988"
1280,"1280.30174","Staphylococcus aureus strain HICF0625","cefoxitin","Resistant",,,,,"Disk diffusion",,,,"EUCAST",2019,,,,"Laboratory Method",,"32025709"
1280,"1280.30008","Staphylococcus aureus strain HICF0430","cefoxitin","Resistant",,,,,"Disk diffusion",,,,"EUCAST",2019,,,,"Laboratory Method",,"32025709"
1280,"1280.30324","Staphylococcus aureus strain HICF0807","cefoxitin","Resistant",,,,,"Disk diffusion",,,,"EUCAST",2019,,,,"Laboratory Method",,"32025709"
1280,"1280.30013","Staphylococcus aureus strain HICF0409","cefoxitin","Resistant",,,,,"Disk diffusion",,,,"EUCAST",2019,,,,"Laboratory Method",,"32025709"
1280,"1280.30110","Staphylococcus aureus strain HICF0545","cefoxitin","Resistant",,,,,"Disk diffusion",,,,"EUCAST",2019,,,,"Laboratory Method",,"32025709"
1280,"1280.11719","Staphylococcus aureus strain 3688STDY6124954","cefoxitin","Susceptible",,,,,,,,,,,,,,"Laboratory Method",,"26806258"
1280,"1280.30246","Staphylococcus aureus strain HICF0711","cefoxitin","Resistant",,,,,"Disk diffusion",,,,"EUCAST",2019,,,,"Laboratory Method",,"32025709"
1280,"1280.51871","Staphylococcus aureus 15-01065","cefoxitin","Resistant",,,,,"Broth dilution",,,,"EUCAST",2018,,,,"Laboratory Method",,"33658988"
1280,"1280.52212","Staphylococcus aureus WUSa_oxa_MS025","cefoxitin","Susceptible","24",,"24","mm","Disk diffusion",,,,"CLSI",2020,,,,"Laboratory Method",,"35038924"
